idescuela,idplantel,ccts,escuela,idcodigo,cv_cct,
3130,07INM_11087,07KCC0277G,PREESCOLAR CONAFE INDIGENA,8562,07KCC0277G,
3131,07INM_11057,07DJN1394I,FRIDA KAHLO,144110,07DJN1394I,
3132,07INM_11109,07KCC0146O/07KSC0066D/07KPB0198Z,PREESCOLAR CONAFE INDIGENA,2744,07KCC0146O,
3133,07INM_11083,07DCC0991J,MARGARITA MAZA DE JUAREZ,2745,07DCC0991J,
3134,07INM_11062,07DCC1350W,VICENTE GUERRERO,2737,07DCC1350W,
3135,07INM_11064,07DCC0084I,PRIMERO DE MAYO,2724,07DPB0394R,
3136,07INM_11065,07DPR2966D,ELPIDIO LOPEZ ESCOBAR,2724,07DPR2966D,
3137,07INM_11036,07DCC0601D,MELCHOR OCAMPO,144110,07DCC0601D,
3138,07INM_11223,07ETV0610P,TELESECUNDARIA 585 OCTAVIO PAZ LOZANO,927,07ETV0610P,
3139,07INM_11224,07DCC1171K,ROSARIO CASTELLANOS FIGUEROA,927,07DCC1171K,
3140,07INM_11285,07DCC0706Y,LIC. ADOLFO LOPEZ MATEOS,144110,07DCC0706Y,
3141,07INM_11308,07ECC0573X,JARDIN DE NIÑOS COMUNITARIO OCTAVIO PAZ,144110,07ECC0573X,
3142,07INM_11312,07DPB3267P,JUAN ALDAMA,144110,07DPB3267P,
3143,07INM_11313,07KJN0093P,PREESCOLAR CONAFE,144110,07KJN0093P,
3144,07INM_11317,07DPB3193O,AQUILES SERDAN,144110,07DPB3193O,
3145,07INM_11290,07EPB0515L,"PRIMARIA       COMUNITARIA       HERMENEGILDO
GALEANA",144110,,
3146,07INM_11291,07KJN0421S,PREESCOLAR COMUNITARIO,144110,,
3147,07INM_11292,07DPB0566T,NIÑOS HEROES,144110,07DPB0566T,
3148,07INM_11293,07ETV1352Y,TELESECUNDARIA 1312 IGNACIO ZARAGOZA,144110,07ETV1352Y,
3149,07INM_11273,07DCC2019W,PEDRO ANAYA,144110,07DCC2019W,
3150,07INM_11274,07DPB0547E,LAZARO CARDENAS DEL RIO,144110,07DPB0547E,
3151,07INM_21789,07KJN1935X/07KPR1010N,PREESCOLAR CONAFE,144110,,
3152,07INM_21779,07DPR4569S,BELISARIO DOMINGUEZ PALENCIA,8895,,
3153,07INM_21780,07KJN1839U,PREESCOLAR CONAFE,8895,,
3154,07INM_21533,07ETV0485H,"TELESECUNDARIA  466  LUIS  DONALDO  COLOSIO
MURRIETA",8891,,
3155,07INM_21534,07DPR3800C,CUAUHTEMOC,8891,,
3156,07INM_21535,07DJN1005B,CARLOS ARTURO CARRILLO GASTALDI,8891,,
3157,07INM_21627,07ETV1181V,"TELESECUNDARIA   1162   FRAY   BARTOLOME  DE
LAS CASAS",8889,,
3158,07INM_21628,07DPR3961P,LEONA VICARIO,8889,,
3159,07INM_21629,07DJN1664L,JOSEFA ORTIZ DE DOMINGUEZ,8889,,
3160,07INM_21667,07DPR3958B,EMILIANO ZAPATA SALAZAR,144110,,
3161,07INM_21668,07KPR5932R,PRIMARIA CONAFE,144110,,
3162,07INM_21776,07ECC0768J,JARDIN DE NIñOS COMUNITARIO NIñOS HEROES,144110,,
3163,07INM_21777,07DPB3258H,VICENTE RAMON GUERRERO SALDAÑA,144110,,
3164,07INM_21747,07KJN4589Z,PREESCOLAR CONAFE,8884,,
3165,07INM_21684,07DPR0975Y,GUADALUPE VICTORIA,8885,,
3166,07INM_21792,07KJN3873O,PREESCOLAR CONAFE,144110,,
3167,07INM_21690,07DPR4421Z,MIGUEL RAMOS ARIZPE,8890,,
3168,07INM_21691,07KJN3647S,PREESCOLAR CONAFE,8890,,
3169,07INM_21577,07DPR3802A,FRANCISCO INDALECIO MADERO,8892,,
3170,07INM_21578,07ETV1003S,"TELESECUNDARIA  1000  FRANCISCO  INDALECIO
MADERO",8892,,
3171,07INM_21579,07DJN1665K,MANUEL AVILA CAMACHO,8892,,
3172,07INM_21630,07DPR0977W,20 DE NOVIEMBRE,8896,,
3173,07INM_21631,07DJN1897A,MELCHOR OCAMPO,8896,,
3174,07INM_21751,07KPR1955A/07KJN4197L,PRIMARIA CONAFE,8886,,
3175,07INM_21750,07KPR5973R,PRIMARIA CONAFE,144110,,
3176,07INM_21748,07KJN4873V,PREESCOLAR CONAFE,8887,,
3177,07INM_21749,07DPR0917H,CRISTOBAL COLON,8887,,
3178,07INM_21763,07ETV1459Q,TELESECUNDARIA 1436 BENITO JUAREZ GARCIA,8894,,
3179,07INM_21764,07DPR4004N,IGNACIO ALDAMA,8894,,
3180,07INM_21765,07KJN0778Q,PREESCOLAR CONAFE,8894,,
3181,07INM_21817,07KPR0849K,PRIMARIA CONAFE,144110,,
3182,07INM_21605,07DPR0919F,FRAY BARTOLOME DE LAS CASAS,8888,,
3183,07INM_21606,07DPR3801B,RAFAEL RAMIREZ CASTAÑEDA,8888,,
3184,07INM_21607,07KJN2997Q,PREESCOLAR CONAFE,8888,,
3185,07INM_21609,07DPR2272V,ROSARIO CASTELLANOS FIGUEROA,8897,,
3186,07INM_21610,07KJN0213L,PREESCOLAR CONAFE,8897,,
3187,07INM_12374,07KCC2069N,PREESCOLAR CONAFE INDIGENA,144110,07KCC2069N,
3188,07INM_12363,07DPB3020X,ANGEL ALBINO CORZO CASTILLEJOS,144110,07DPB3020X,
3189,07INM_12364,07DCC1380Q,GUSTAVO DIAZ ORDAZ,144110,07DCC1380Q,
3190,07INM_12338,07KCC1316Z,PREESCOLAR CONAFE INDIGENA,144110,07KCC1316Z,
3191,07INM_12339,07DPB0693P,JULIO DE LA FUENTE,144110,07DPB0693P,
3192,07INM_12349,07DPB1057X,NARCISO BASSOLS,144110,07DPB1057X,
3193,07INM_12350,07DCC2012C,NIÑOS HEROES,144110,07DCC2012C,
3194,07INM_12323,07DCC0054O,JOSE MARTI,1675,07DCC0054O,
3195,07INM_12324,07DPB1238G,VENUSTIANO CARRANZA,1675,07DPB1238G,
3196,07INM_12325,07ETV1052A,"TELESECUNDARIA  1029  LAZARO  CARDENAS  DEL
RIO",1675,,
3197,07INM_12347,07DCC0085H,BELISARIO DOMINGUEZ PALENCIA,144110,07DCC0085H,
3198,07INM_12375,07KCC2070C,PREESCOLAR CONAFE INDIGENA,144110,07KCC2070C,
3199,07INM_12368,07DCC1772D,TIERRA Y LIBERTAD,144110,07DCC1772D,
3200,07INM_12369,07DPB1465B,BENITO JUAREZ GARCIA,144110,07DPB1465B,
3201,07INM_12351,07DPB0661X,VALENTIN GOMEZ FARIAS,144110,07DPB0661X,
3202,07INM_12352,07DCC0922N,MIGUEL HIDALGO Y COSTILLA,144110,07DCC0922N,
3203,07INM_12326,07DCC0781E,5 DE FEBRERO,1677,07DCC0781E,
3204,07INM_12327,07DPB2140C,21 DE MARZO,1677,07DPB2140C,
3205,07INM_12328,07DCC0156L,5 DE MAYO,1680,07DCC0156L,
3206,07INM_12329,07DPB2416Z,LAZARO CARDENAS DEL RIO,1680,07DPB2416Z,
3207,07INM_12359,07DCC1816K,BENITO JUAREZ GARCIA,144110,07DCC1816K,
3208,07INM_12360,07DPB2889O,ROSARIO CASTELLANOS FIGUEROA,144110,07DPB2889O,
3209,07INM_12361,07DPB3250P,VICENTE RAMON GUERRERO SALDAÑA,144110,07DPB3250P,
3210,07INM_12362,07DCC1952O,DIEGO RIVERA,144110,07DCC1952O,
3211,07INM_12373,07KCC1774L,PREESCOLAR CONAFE INDIGENA,144110,07KCC1774L,
3212,07INM_12355,07DCC2074P,OCTAVIO PAZ,144110,07ECC0779P,
3213,07INM_12356,07DPB2142A,ADOLFO LOPEZ MATEOS,144110,07DPB2142A,
3214,07INM_12353,07DCC2038K,JOSE VASCONCELOS CALDERON,144110,07DCC2038K,
3215,07INM_12354,07DPB1041W,JOSE CLEMENTE OROZCO,144110,07DPB1041W,
3216,07INM_12336,07DPB0632B,EMILIANO ZAPATA SALAZAR,144110,07DPB0632B,
3217,07INM_12337,07DCC0859B,FRANCISCO INDALECIO MADERO,144110,07DCC0859B,
3218,07INM_12330,07DPB1132N,JOSE MARIA MORELOS Y PAVON,1681,07DPB1132N,
3219,07INM_12331,07DCC0056M,MIGUEL HIDALGO Y COSTILLA,1681,07DCC0056M,
3220,07INM_12365,07DPB1505M,JUSTO SIERRA MENDEZ,144110,07DPB1505M,
3221,07INM_12334,07DCC1178D,ANGELA PERALTA,1678,07DCC1178D,
3222,07INM_12335,07DPB1260I,IGNACIO ZARAGOZA,1678,07DPB1260I,
3223,07INM_12371,07DPB1056Y,IGNACIO ALLENDE,144110,07EPB0884E,
3224,07INM_12372,07DCC2073Q,GUADALUPE VICTORIA,144110,07ECC0780E,
3225,07INM_12333,07DCC0860R,20 DE NOVIEMBRE,1679,07DCC0860R,
3226,07INM_12358,07DPB1880Q,ARTICULO TERCERO CONSTITUCIONAL,144110,07DPB1880Q,
3227,07INM_12344,07ETV1340T,TELESECUNDARIA 1317 BENITO JUAREZ,144110,07ETV1340T,
3228,07INM_12345,07DCC0782D,24 DE FEBRERO,144110,07DCC0782D,
3229,07INM_12346,07DPB0736X,GUILLERMO PRIETO,144110,07DPB0736X,
3230,07INM_12370,07KCC1792A,PREESCOLAR CONAFE INDIGENA,144110,07KCC1792A,
3231,07INM_12610,07DCC1635A,FRAY BARTOLOME DE LAS CASAS,144110,07DCC1635A,
3232,07INM_12611,07DPB2249T,GUADALUPE VICTORIA,144110,07DPB2249T,
3233,07INM_12636,07DPB3072C,MAYA,144110,07DPB3072C,
3234,07INM_12637,07KCC1892Z,PREESCOLAR CONAFE INDIGENA,144110,07KCC1892Z,
3235,07INM_12656,07KCC2036W,PREESCOLAR CONAFE INDIGENA,144110,07KCC2036W,
3236,07INM_12389,07DCC1502K,CUAUHTEMOC,4858,07DCC1502K,
3237,07INM_12390,07DPB0824R,RAFAEL RAMIREZ CASTAÑEDA,4858,07DPB0824R,
3238,07INM_12577,07DCC1584K,PLUTARCO ELIAS CALLES,144110,07DCC1584K,
3239,07INM_12578,07DPB0188I,JOSE LOPEZ PORTILLO,144110,07DPB0188I,
3240,07INM_12612,07DPB2144Z,JUSTO SIERRA MENDEZ,4857,07DPB2144Z,
3241,07INM_12613,07DCC1182Q,VICENTE GUERRERO,4857,07DCC1182Q,
3242,07INM_12624,07KCC0787I/07KPB0391D,PREESCOLAR CONAFE INDIGENA,144110,07KCC0787I,
3243,07INM_12581,07DCC1855M,JAIME SABINES GUTIERREZ,4924,07DCC1855M,
3244,07INM_12582,07DPB2369F,GUADALUPE VICTORIA,4924,07DPB2369F,
3245,07INM_12583,07DPB3206B,IGNACIO ZARAGOZA,144110,07DPB3206B,
3246,07INM_12584,07KCC1610B,PREESCOLAR CONAFE INDIGENA,144110,07KCC1610B,
3247,07INM_12395,07KPB1857Z,PRIMARIA CONAFE INDÍGENA,4862,07KPB1857Z,
3248,07INM_12396,07DCC0765N,ROSARIO CASTELLANOS FIGUEROA,4862,07DCC0765N,
3249,07INM_12397,07DPB1422D,NARCISO BASSOLS,4862,07DPB1422D,
3250,07INM_12531,07DPB2599Y,IGNACIO MANUEL ALTAMIRANO,4860,07DPB2599Y,
3251,07INM_12532,07DCC1346J,MELCHOR OCAMPO,4860,07DCC1346J,
3252,07INM_12398,07DCC1585J,JUANA INES DE LA CRUZ,144110,07DCC1585J,
3253,07INM_12399,07DPB2770R,ALVARO OBREGON,144110,07DPB2770R,
3254,07INM_12560,07DCC1634B,XOCOYOTZIN,4874,07DCC1634B,
3255,07INM_12561,07DPB2151I,LEONARDO MARQUEZ,4874,07DPB2151I,
3256,07INM_12644,07DCC1877Y,VALENTIN GOMEZ FARIAS,4876,07DCC1877Y,
3257,07INM_12645,07ETV0341L,"TELESECUNDARIA  1468  LAZARO  CARDENAS  DEL
RIO",4876,,
3258,07INM_12646,07DPB2386W,BENITO JUAREZ GARCIA,4876,07DPB2386W,
3259,07INM_12400,07DJN2044K,FRANCISCO JAVIER MINA,144110,07DJN2044K,
3260,07INM_12401,07DPR3203F,ADOLFO LOPEZ MATEOS,144110,07DPR3203F,
3261,07INM_12670,07DPB3287C,IGNACIO RAMIREZ CALZADA,144110,07DPB3287C,
3262,07INM_12402,07DCC0863O,IXCOATL,4838,07DCC0863O,
3263,07INM_12403,07DPB1421E,BELISARIO DOMINGUEZ PALENCIA,4838,07DPB1421E,
3264,07INM_12671,07KPB0420I,PRIMARIA CONAFE INDÍGENA,144110,07KPB0420I,
3265,07INM_12672,07KCC1554Z,PREESCOLAR CONAFE INDÍGENA,144110,07KCC1554Z,
3266,07INM_12642,07DPB3007C,CUITLAHUAC,144110,07DPB3007C,
3267,07INM_12643,07KCC1615X,PREESCOLAR CONAFE INDIGENA,144110,07KCC1615X,
3268,07INM_12386,07ODI0075Z,"CENTRO  DE  ASISTENCIA  INFANTIL  LA  CASA  DE
LOS AMIGUITOS",4840,,
3269,07INM_12419,07DCC0923M,TIERRA Y LIBERTAD,4888,07DCC0923M,
3270,07INM_12420,07ETV1385P,TELESECUNDARIA 1362 AGUSTIN DE ITURBIDE,4888,07ETV1385P,
3271,07INM_12422,07ETV1473J,"TELESECUNDARIA  1450  ROSARIO  CASTELLANOS
FIGUEROA",144110,,
3272,07INM_12423,07DCC0321U,PLAN DE AYALA,144110,07DCC0321U,
3273,07INM_12565,07DPB2743U,MANUEL GUTIERREZ NAJERA,4928,07DPB2743U,
3274,07INM_12566,07KCC1608N,PREESCOLAR CONAFE INDIGENA,4928,07KCC1608N,
3275,07INM_12555,07DCC1498O,MIGUEL HIDALGO Y COSTILLA,144110,07DCC1498O,
3276,07INM_12404,07ETV0364W,"TELESECUNDARIA     1483     MANUEL     VELASCO
SUAREZ",4909,,
3277,07INM_12405,07DCC1797M,JUAN ESCUTIA,4909,07DCC1797M,
3278,07INM_12406,07DPB0181P,24 DE FEBRERO,4909,07DPB0181P,
3279,07INM_12407,07DPR2267J,IGNACIO MANUEL ALTAMIRANO,4852,07DPR2267J,
3280,07INM_12408,07DCC1878X,AMADO NERVO ORDAZ,4852,07DCC1878X,
3281,07INM_12414,07DCC1817J,OCTAVIO PAZ LOZANO,144110,07DCC1817J,
3282,07INM_12415,07DPB1881P,ANGEL ALBINO CORZO,144110,07DPB1881P,
3283,07INM_12653,07DCC1940J/07DPB1009N,GUADALUPE VICTORIA,4878,07DCC1940J,
3284,07INM_12526,07ETV1440S,"TELESECUNDARIA  1417  FRANCISCO  INDALECIO
MADERO",4891,,
3285,07INM_12470,07ETV1273L,"TELESECUNDARIA  1250  ROSARIO  CASTELLANOS
FIGUEROA",4841,,
3286,07INM_12426,07DCC1583L,XICOTENCATL,4921,07DCC1583L,
3287,07INM_12429,07DST0129F,ESCUELA SECUNDARIA TECNICA NUM. 126,4900,07DST0129F,
3288,07INM_12585,07DPR1209M,PROFR. RAUL TELLEZ CHAVEZ,144110,07DPR1209M,
3289,07INM_12586,07KCC0452W,PREESCOLAR CONAFE INDIGENA,144110,07KCC0452W,
3290,07INM_12431,07DCC1007K,LEONA VICARIO,4850,07DCC1007K,
3291,07INM_12630,07KCC1480Z,PREESCOLAR CONAFE INDIGENA,144110,07KCC1480Z,
3292,07INM_12631,07EPB0803D,"PRIMARIA    COMUNITARIA    JOSE    MARIA    LUIS
MORA",144110,,
3293,07INM_12614,07DCC1870E,JEAN PIAGET,144110,07DCC1870E,
3294,07INM_12615,07DPB3256J,IGNACIO ZARAGOZA,144110,07DPB3256J,
3295,07INM_12439,07DPB1217U,ENRIQUE FLORES MAGON,4907,07DPB1217U,
3296,07INM_12440,07ETV1053Z,"TELESECUNDARIA     1030     FRAY     MATIAS     DE
CORDOVA Y ORDOÑEZ",4907,,
3297,07INM_12655,07DPR4879W,JAIME SABINES GUTIERREZ,144110,07DPR4879W,
3298,07INM_12632,07KCC0428W,PREESCOLAR CONAFE INDIGENA,4877,07KCC0428W,
3299,07INM_12633,07DPB2895Z,JUAN ESPONDA,4877,07DPB2895Z,
3300,07INM_12588,07DJN1090P,SOR JUANA INES DE LA CRUZ,144110,07DJN1090P,
3301,07INM_12433,07DPR3969H,CRISTOBAL COLON,4868,07DPR3969H,
3302,07INM_12434,07KCC1477L,PREESCOLAR CONAFE INDIGENA,4868,07KCC1477L,
3303,07INM_12626,07DCC1794P,LEONARDO BRAVO,144110,07DCC1794P,
3304,07INM_12627,07DPB1516S,SOR JUANA INES DE LA CRUZ,144110,07DPB1516S,
3305,07INM_12435,07ETV0358L,"TELESECUNDARIA   1470   FRAY   BARTOLOME  DE
LAS CASAS",144110,,
3306,07INM_12436,07DPB0336A,20 DE NOVIEMBRE,144110,07DPB0336A,
3307,07INM_12437,07DCC0553K,SALVADOR NOVO,144110,07DCC0553K,
3308,07INM_12441,07DPB0167W,ABSALON CASTELLANOS,4880,07DPB0167W,
3309,07INM_12442,07DCC0734U,ERASTO URBINA GARCIA,4880,07DCC0734U,
3310,07INM_12541,07DCC0766M,ENRIQUE PESTALOZZI,4913,07DCC0766M,
3311,07INM_12543,07DPB1042V,CUAUHTEMOC,144110,07DPB1042V,
3312,07INM_12539,07ETV1384Q,TELESECUNDARIA 1361 MAHATMA GANDHI,144110,07ETV1384Q,
3313,07INM_12676,07KCC2050P,PREESCOLAR CONAFE INDIGENA,144110,07KCC2050P,
3314,07INM_12677,07DPR4922U,NIÑOS HEROES,144110,07DPR4922U,
3315,07INM_12496,07DCC1378B,JOSE VASCONCELOS CALDERON,4853,07DCC1378B,
3316,07INM_12497,07DPB2696Z,MIGUEL HIDALGO Y COSTILLA,4853,07DPB2696Z,
3317,07INM_12640,07DPB2951A,IGNACIO ZARAGOZA,4849,07DPB2951A,
3318,07INM_12641,07KCC1476M,PREESCOLAR CONAFE INDIGENA,4849,07KCC1476M,
3319,07INM_12659,07KCC1714X,PREESCOLAR CONAFE INDIGENA,144110,07KCC1714X,
3320,07INM_12660,07DPB3222T,LUCIO CABAÑAS BARRIENTOS,144110,07DPB3222T,
3321,07INM_12517,07DCC1954M,VENUSTIANO CARRANZA,4887,07DCC1954M,
3322,07INM_12663,07DCC2084W,GABRIELA MISTRAL,144110,,
3323,07INM_12445,07DJN2032F,HERMELINDO SANTIAGO VITAL,4863,07DJN2032F,
3324,07INM_12661,07DCC1711Q,LEONA VICARIO,4855,07DCC1711Q,
3325,07INM_12662,07DPB2736K,JAIME NUNO,4855,07DPB2736K,
3326,07INM_12591,07DPR4825S,CONSTITUCION DEL 57,144110,07DPR4825S,
3327,07INM_12447,07DJN0701S,JOSE ORTEGA Y GASSET,4919,07DJN0701S,
3328,07INM_12593,07DJN0839D,FELIPE VILLANUEVA,4901,07DJN0839D,
3329,07INM_12594,07ETV0463W,"TELESECUNDARIA       1473       EMILIO       RABASA
ESTEBANELL",4901,,
3330,07INM_12544,07KPB1842X/07KCC0096X,PRIMARIA CONAFE INDIGENA,144110,07KPB1842X,
3331,07INM_12616,07DPB2621J,TEZOZOMOC,4916,07DPB2621J,
3332,07INM_12450,07ETV0899G,"TELESECUNDARIA       879       RAFAEL       RAMIREZ
CASTAÑEDA",4870,,
3333,07INM_12451,07DCC0527M,BELISARIO DOMINGUEZ PALENCIA,4870,07DCC0527M,
3334,07INM_12452,07DPB2419X,VICENTE GUERRERO,4870,07DPB2419X,
3335,07INM_12622,07DCC1181R,VICENTE GUERRERO,4904,07DCC1181R,
3336,07INM_12623,07DPB2651D,JOSE VASCONCELOS CALDERON,4904,07DPB2651D,
3337,07INM_12453,07ETV1460F,TELESECUNDARIA 1437 PLAN DE AYALA,4864,07ETV1460F,
3338,07INM_12454,07DPB1423C,MIGUEL HIDALGO Y COSTILLA,4864,07DPB1423C,
3339,07INM_12455,07DCC1185N,AGUSTIN MELGAR,4864,07DCC1185N,
3340,07INM_12550,07DPB2700W,BENITO JUAREZ GARCIA,4883,07DPB2700W,
3341,07INM_12551,07DCC1819H,XICOTENCATL,4883,07DCC1819H,
3342,07INM_12638,07KPB1308V/07KSC0008N/07KCC1256A,PRIMARIA CONAFE INDIGENA,144110,07KPB1308V,
3343,07INM_12519,07DPR3782D,GUADALUPE VICTORIA,4837,07DPR3782D,
3344,07INM_12522,07DCC1521Z,PEDRO MORENO,4837,07DCC1521Z,
3345,07INM_12457,07DCC0331A,JOSE VASCONCELOS CALDERON,4892,07DCC0331A,
3346,07INM_12654,07DPR4832B,NIÑOS HEROES,144110,07DPR4832B,
3347,07INM_12545,07DPB3106C,TENOCH,4866,07DPB3106C,
3348,07INM_12562,07DPB1008O,JEAN PIAGET,144110,07DPB1008O,
3349,07INM_12563,07KCC1309P,PREESCOLAR CONAFE INDIGENA,144110,07KCC1309P,
3350,07INM_12465,07ETV0360Z,"TELESECUNDARIA  1471  BELISARIO  DOMINGUEZ
PALENCIA",144110,,
3351,07INM_12466,07DCC0785A,GUSTAVO ADOLFO MADERO GONZALEZ,144110,07DCC0785A,
3352,07INM_12462,07DPB1247O,EMILIANO ZAPATA SALAZAR,4881,07DPB1247O,
3353,07INM_12463,07DCC0551M,LAZARO CARDENAS DEL RIO,4881,07DCC0551M,
3354,07INM_12464,07ETV1274K,TELESECUNDARIA 1251 OCTAVIO PAZ LOZANO,4881,07ETV1274K,
3355,07INM_12675,07KPB1883X,PRIMARIA CONAFE INDIGENA,144110,07KPB1883X,
3356,07INM_12546,07DPB1474J,LEONA VICARIO,144110,07DPB1474J,
3357,07INM_12547,07DCC1818I,ALVARO OBREGON,144110,07DCC1818I,
3358,07INM_12666,07KPB1793E/07KCC1641V,PRIMARIA CONAFE INDIGENA,144110,07KPB1793E,
3359,07INM_12667,07KSC0105P,SECUNDARIA CONAFE INDÍGENA,144110,07KSC0105P,
3360,07INM_12598,07DPB3137W,FRANCISCO INDALECIO MADERO,144110,07DPB3137W,
3361,07INM_12595,07DJN2059M,FRAY BARTOLOME DE LAS CASAS,4920,07DJN2059M,
3362,07INM_12475,07DPB3008B,NICOLAS BRAVO,4903,07DPB3008B,
3363,07INM_12476,07DCC1853O,IGNACIO ZARAGOZA,4903,07DCC1853O,
3364,07INM_12477,07ETV1483Q,"TELESECUNDARIA   1491   MIGUEL   ALVAREZ   DEL
TORO",4903,,
3365,07INM_12528,07ETV1170P,TELESECUNDARIA 1152,4905,07ETV1170P,
3366,07INM_12529,07DCC1567U,FRANCISCO INDALECIO MADERO,4905,07DCC1567U,
3367,07INM_12649,07DPB3261V,ANAHUAC,144110,07DPB3261V,
3368,07INM_12650,07KCC2037V,PREESCOLAR CONAFE INDIGENA,144110,07KCC2037V,
3369,07INM_12553,07DCC2042X,20 DE NOVIEMBRE,4890,07DCC2042X,
3370,07INM_12625,07DPB3074A,BARTOLOME DE LAS CASAS,144110,07DPB3074A,
3371,07INM_12481,07DCC0326P,JOSE CLEMENTE OROZCO,4845,07DCC0326P,
3372,07INM_12482,07DPB0331F,JAIME TORRES BODET,4845,07DPB0331F,
3373,07INM_12483,07ETV1359R,TELESECUNDARIA 1336 JUAN RULFO,4845,07ETV1359R,
3374,07INM_12628,07DPB3138V,ADOLFO LOPEZ MATEOS,144110,07DPB3138V,
3375,07INM_12629,07KCC0311X,PREESCOLAR CONAFE INDIGENA,144110,07KCC0311X,
3376,07INM_12486,07DCC1927P,BENITO JUAREZ GARCIA,4846,07DCC1927P,
3377,07INM_12487,07DPB3215J,JUAN SABINES GUTIERREZ,4846,07DPB3215J,
3378,07INM_12678,07KCC2091P,PREESCOLAR CONAFE INDÍGENA,144110,07KCC2091P,
3379,07INM_12679,07DPR0492T,EMILIANO ZAPATA SALAZAR,144110,07DPR0492T,
3380,07INM_12575,07DPB1419Q,MARIANO ABASOLO,4873,07DPB1419Q,
3381,07INM_12576,07DCC1186M,ENRIQUE REBSAMEN,4873,07DCC1186M,
3382,07INM_12665,07DPB3244E,DIEGO RIVERA,144110,07DPB3244E,
3383,07INM_12603,07DCC1414Q,PEDRO MORENO,4917,07DCC1414Q,
3384,07INM_12571,07KCC1609M,PREESCOLAR CONAFE INDIGENA,4908,07KCC1609M,
3385,07INM_12572,07DPB2953Z,ROSARIO CASTELLANOS FIGUEROA,4908,07DPB2953Z,
3386,07INM_12488,07DCC1953N,JOSEFA ORTIZ DE DOMINGUEZ,4854,07DCC1953N,
3387,07INM_12489,07DPB3221U,IGNACIO JOSE ALLENDE Y UNZAGA,4854,07DPB3221U,
3388,07INM_12648,07KPB1469H,PRIMARIA CONAFE INDIGENA,144110,07KPB1469H,
3389,07INM_12490,07DPB2764G,SENTIMIENTOS DE LA NACION,4915,07DPB2764G,
3390,07INM_12492,07DPR1139H,IGNACIO MANUEL ALTAMIRANO,4879,07DPR1139H,
3391,07INM_12567,07DPB1888I,RAFAEL RAMIREZ CASTAÑEDA,4931,07DPB1888I,
3392,07INM_12568,07DCC0787Z,VICENTE SUAREZ,4931,07DCC0787Z,
3393,07INM_12619,07DCC1885G/07DPB3157J,FERNANDO MONTES DE OCA RODRIGUEZ,4856,07DCC1885G,
3394,07INM_12634,07KCC1406R,PREESCOLAR CONAFE INDIGENA,144110,07KCC1406R,
3395,07INM_12635,07DPR4809A,IGNACIO RAMIREZ CALZADA,144110,07DPR4809A,
3396,07INM_12617,07ECC0508X,"JARDIN   DE   NIÑOS   COMUNITARIO   FRANCISCO
GABILONDO SOLER",4911,,
3397,07INM_12493,07ETV0923Q,TELESECUNDARIA 907 JUAN RULFO,4847,07ETV0923Q,
3398,07INM_12494,07DCC0526N,AMADO NERVO,4847,07DCC0526N,
3399,07INM_12495,07DPB1243S,WALTER C. BUCHANAN,4847,07DPB1243S,
3400,07INM_12569,07KCC1502U,PREESCOLAR CONAFE INDIGENA,4872,07KCC1502U,
3401,07INM_12570,07KPB1695D,PRIMARIA CONAFE INDIGENA,4872,07KPB1695D,
3402,07INM_12673,07DPR4895N,FRANCISCO GONZALEZ BOCANEGRA,4872,,
3403,07INM_12674,07KCC1925A,PREESCOLAR CONAFE INDIGENA,144110,07KCC1925A,
3404,07INM_12620,07DPB2766E,VALENTIN GOMEZ FARIAS,4859,07DPB2766E,
3405,07INM_12621,07DCC1503J,MARIA MONTESSORI,4859,07DCC1503J,
3406,07INM_12549,07DCC1589F,OCTAVIO PAZ LOZANO,144110,07DCC1589F,
3407,07INM_12533,07DCC1880L,MALINTZIN,555,07DCC1880L,
3408,07INM_12534,07DPB1832G,VASCO DE QUIROGA,555,07DPB1832G,
3409,07INM_12535,07DPB2649P,EMILIO RABASA ESTEBANELL,144110,07DPB2649P,
3410,07INM_12608,07DCC1955L,JAIME SABINES GUTIERREZ,144110,07DCC1955L,
3411,07INM_12498,07ETV1304O,"TELESECUNDARIA  1279  BELISARIO  DOMINGUEZ
PALENCIA",144110,,
3412,07INM_12499,07DCC1854N,BELISARIO DOMINGUEZ PALENCIA,144110,07DCC1854N,
3413,07INM_12500,07DPB3050R,JUSTO SIERRA MENDEZ,144110,07DPB3050R,
3414,07INM_12639,07DPR2060S,HERMENEGILDO GALEANA,144110,,
3415,07INM_12504,07DCC0924L,CUAUHTEMOC,4906,07DCC0924L,
3416,07INM_12505,07DPB1948G,JOSEFA ORTIZ DE DOMINGUEZ,4906,07DPB1948G,
3417,07INM_12506,07ETV0907Z,"TELESECUNDARIA   882   FRANCISCO   GONZALEZ
BOCANEGRA",4906,,
3418,07INM_12508,07ETV1098W,TELESECUNDARIA 1077 JUAN ESCUTIA,144110,07ETV1098W,
3419,07INM_12511,07DCC1501L,GREGORIO TORRES QUINTERO,144110,07DCC1501L,
3420,07INM_12512,07DPB1954R,MI PATRIA ES PRIMERO,144110,07DPB1954R,
3421,07INM_12604,07DCC1792R,IGNACIO COMONFORT,4925,07DCC1792R,
3422,07INM_12605,07DPB2131V,ROSARIO CASTELLANOS FIGUEROA,4925,07DPB2131V,
3423,07INM_12607,07DCC1189J,GUADALUPE VICTORIA,4897,07DCC1189J,
